"id","nq","mvinyr","prfuse","csmptv","weight","pvwlbn","pvwlid","pvwlod","prvwel","rwtank","rwtkrp","rwusbn","rwusid","rwusod","rwtuse","otsrid","otsrod","otsodc","mncdsv","munisv","dtcdsv","dstrsv","pvcdsv","prvnsv","dtbtor","xcoord","ycoord","sscdgb","ststgb","smcdgb","mncdgb","munigb","dtcdgb","dstrgb","pvcdgb","prvngb","nbpsnr","nbwkpp","nbchdr","nbadlt","nttper","eqadlt","npnspo","nwprpo","nchdpo","nadtpo","nttppo","eqatpo","rprage","rprgen","rprjob","rped6c","rped4c","income","inceqa","iceqac1","iceqac2","fseaid","dfpay","TEH","dwowsh","dwltyp","dwcsy9","dwcsy6","dwcsy5","livara","lareqa","nbktch","nblvrm","nbbdrm","nbbtrm","nbtoil","pldisw","pmnpol","pmnprp","tmppol","tmpprp","garden","dshwas","dshwrp","wasmch","wasmrp","bath","bathrp","shower","shwrrp","bthshw","btshrp","efshhd","efshrp","eftoil","eftlrp","eftech","efterp","drtoil","drtlrp","hlpwtk","cfdiwq","ppusvl","bdgmtr","lmtmtr","dwelocp","csptdo","cspppd","cspdwo","cspeqa","cspeqo","bill","price1","CVD","CVA","bill70"
1401,22340,2014,"no",89.73,0.582965,"no","no","no","no","no","no","no","no","no","no","no","no","no","62099","Soumagne","62000","Liege","60000","Liege","SWDE",247030.325508011,146987.424391298,"62099A20-","Fecher","62099A2","62099","Soumagne","62000","Liege","60000","Liege",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"owner - mortgage loan","3 facades","2001-2005","2001 and after","2001 and after",190,NA,"1","1","3 or more","1","2","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","none","none","no","no","no","no","no","no","no","no","no","confident","yes","no","no",NA,NA,NA,NA,NA,NA,430.24666,4.79490315390616,2.448,1.745,325.0225
1402,28521,2000,"no",31.1,0.57861,"no","no","no","no","no","no","yes","yes","yes","both","yes","yes","no","53070","Saint-Ghislain","53000","Mons","50000","Hainaut","SWDE",112572.709808088,128413.847207758,"53070B10-","Douvrain","53070B1","53070","Saint-Ghislain","53000","Mons","50000","Hainaut",0,1,0,1,1,1,0,1,0,1,1,1,52,"M","state employee","university","university",3250,39000,"average","higher","no","no",0.405627,"owner - mortgage loan","4 facades","1991-2000","1991-2000","1991-2000",135,135,"1","1","2","2","2","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","both","none","no","no","no","no","no","no","no","no","no","rather confident","yes","no","no",1,31.1,85.2054794520548,85.2054794520548,85.2054794520548,85.2054794520548,158.194665,5.08664517684887,2.448,1.745,325.0225
1403,15252,1996,"no",100,0.775473,"no","no","no","no","no","no","no","no","no","no","no","yes","no","25107","Villers-La-Ville","25000","Nivelles","20002","Brabant Wallon","IECBW",162396.061348839,137795.140268634,"25107D001","Marbais-Centre","25107D0","25107","Villers-La-Ville","25000","Nivelles","20002","Brabant Wallon",0,2,0,2,2,1.5,0,2,0,2,2,1.5,59,"F","(pre)retired","university","university",3750,30000,"average","higher","no","no",1.062002,"owner","4 facades","1875-1918","Before 1919","Before 1945",150,100,"1","1","2","1","2","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","both","none","yes","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.961538461538462,104,136.986301369863,142.465753424658,182.648401826484,189.954337899543,477.901,4.77901,2.16,1.745,302.1265
1405,21556,2003,"no",52.95,1.277935,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","51009","Bernissart","51000","Ath","50000","Hainaut","SWDE",99527.5611773073,132440.896131829,"51009C00-","Blaton-Centre","51009C0","51009","Bernissart","51000","Ath","50000","Hainaut",0,2,2,2,4,2.1,0,2,2,2,4,2.1,43,"M","worker","highschool","highschool",3250,18571.4285714286,"modest","modest","no","no",0.665595,"owner - mortgage loan","2 facades","1919-1945","1919-1945","Before 1945",100,47.6190476190476,"1","1","3 or more","1","1","no","no","no","no","no","yes","yes","no","yes","no","no","no","yes","no","shower","none","yes","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.961538461538462,55.068,36.2671232876712,37.7178082191781,69.0802348336595,71.8434442270059,259.581943,4.90239741265345,2.448,1.745,325.0225
1406,15436,2002,"no",100.4,0.788395,"no","no","no","no","no","no","no","no","no","no","no","no","no","92101","Profondeville","92000","Namur","90000","Namur","SWDE",182324.920655565,120884.60615578,"92101F183","Stordoir - Charlerie","92101F1","92101","Profondeville","92000","Namur","90000","Namur",0,2,0,2,2,1.5,0,2,0,2,2,1.5,51,"F","private sector","higher not university","university",3250,26000,"average","average","no","no",1.230146,"owner - mortgage loan","3 facades","1946-1970","1946-1970","1946-1970",200,133.333333333333,"1","2","3 or more","1","1","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","both","none","yes","no","yes","no","yes","no","no","no","no","rather confident","yes","no","no",1,100.4,137.534246575342,137.534246575342,183.37899543379,183.37899543379,479.75706,4.77845677290837,2.448,1.745,325.0225
1408,26268,1997,"no",69,1.291957,"no","no","no","no","no","no","no","no","no","no","no","no","no","61031","Huy","61000","Huy","60000","Liege","CILE",210976.76393463,135467.270269995,"61031A400","Statte Bas","61031A4","61031","Huy","61000","Huy","60000","Liege",0,2,0,2,2,1.5,0,2,0,2,2,1.5,39,"M","worker","technique","vocation",2750,22000,"modest","average","no","no",1.016238,"owner - mortgage loan","2 facades","1919-1945","1919-1945","Before 1945",228,152,"1","1","2","1","1","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","none","none","yes","no","yes","no","yes","no","no","no","no","neither confident nor suspicious","yes","no","no",1,69,94.5205479452055,94.5205479452055,126.027397260274,126.027397260274,335.358454,4.86026744927536,2.6366,1.745,340.0162
1409,26385,2012,"no",76,2.554732,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","no","62120","Flemalle","62000","Liege","60000","Liege","CILE",222749.328207326,144145.071954542,"62120C380","Warfusee","62120C3","62120","Flemalle","62000","Liege","60000","Liege",0,1,1,1,2,1.3,0,0.25,0.25,0.25,0.5,0.325,40,"F","private sector","higher not university","university",1750,16153.8461538462,"modest","modest","no","yes",1.752203,"renter - private sector","4 facades","1971-1980","1971-1990","1971-1990",120,92.3076923076923,"1","1","3 or more","1","2","no","no","no","no","no","yes","yes","no","yes","no","yes","no","no","no","bathtub","none","no","no","no","no","no","no","no","no","no","confident","yes","no","no",1,76,104.109589041096,416.438356164384,160.168598524763,640.674394099052,367.962676,4.84161415789474,2.6366,1.745,340.0162
1413,16913,2013,"no",28.66,2.221596,"no","no","no","no","no","no","no","no","no","no","no","no","no","53053","Mons","53000","Mons","50000","Hainaut","SWDE",121058.512848355,126230.029035494,"53053A213","Foyer Montois","53053A2","53053","Mons","53000","Mons","50000","Hainaut",0,2,0,2,2,1.5,0,2,0,2,2,1.5,39,"M","private sector",NA,NA,1750,14000,"modest","modest","no","no",0.720057,"renter - private sector","appartment/studio","2006 and after","2001 and after","2001 and after",75,50,"1","1","2","1","1","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","bathtub","none","no","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.980769230769231,29.2219607843137,39.2602739726027,40.0300832661832,52.3470319634703,53.3734443549109,151.212021,5.27606493370551,2.448,1.745,325.0225
1414,27198,1981,"no",93.59,1.122616,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","51065","Frasnes-Lez-Anvaing","51000","Ath","50000","Hainaut","SWDE",97159.1158113376,149619.358271615,"51065D000","Moustier-Centre","51065D0","51065","Frasnes-Lez-Anvaing","51000","Ath","50000","Hainaut",0,2,0,2,2,1.5,0,2,0,2,2,1.5,58,"F","private sector","professional","vocation",2250,18000,"modest","modest","no","no",1.659843,"owner","2 facades","1875-1918","Before 1919","Before 1945",250,166.666666666667,"1","1","3 or more","1","1","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","both","none","yes","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.942307692307692,99.32,128.205479452055,136.054794520548,170.940639269406,181.406392694064,448.157639,4.7885205577519,2.448,1.745,325.0225
1415,20957,2003,"no",80,1.163915,"no","no","no","no","no","no","yes","no","yes","outdoor","no","yes","yes","62096","Seraing","62000","Liege","60000","Liege","CILE",231130.597800563,142043.310536444,"62096A542","Quartier De L'est","62096A5","62096","Seraing","62000","Liege","60000","Liege",0,5,1,5,6,3.3,0,4.25,1,4.25,5.25,2.925,43,"F","state employee","higher not university","university",4250,15454.5454545455,"modest","modest","no","no",0.758027,"owner - mortgage loan","3 facades","1946-1970","1946-1970","1946-1970",250,75.7575757575758,"1","1","3 or more","3 or more","3 or more","yes","no","no","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","shower","none","yes","yes","yes","yes","yes","yes","no","no","no","confident","yes","no","no",0.980769230769231,81.5686274509804,36.5296803652968,42.5667984088613,66.417600664176,76.4019458620587,386.59366,4.83242075,2.6366,1.745,340.0162
