"sscode","random"
"62063E03-",47.9320962815693
"62063E101",46.1356072856143
"62063E112",48.5321477158992
"62063F00-",50.5796166684088
"62063F01-",52.3330638917143
"62063F1AP",47.3967478223698
"62063F21-",56.9936043629826
"62063F301",62.229468036179
"62063F322",65.1149035844691
"62063F401",52.1795706482599
"62063F432",53.2643474105382
"62063F5BP",51.5543318957671
"62063G001",52.3794380565895
"62063G04-",53.8827283133973
"62063G09-",51.8377267163683
"62063H032",51.0328305895101
"62063H20-",58.6210354669388
"62063H2MB",40.0354960737707
"62063J201",60.6601779195675
"62063J41-",49.8159218911126
"62063K01-",54.7431962211265
"62063K11-",51.1942651102638
"62063L001",55.2879563785391
"62063L01-",52.2825853489064
"62063L042",53.2426592749197
"62063L0AP",50.651134574515
"62063L1AN",39.3180089256655
"62063M651",48.1077633985623
"62079A01-",56.9569682488082
"62079A02-",49.6329138743938
"62079A032",57.6118512368019
"62079A04-",55.4248260104569
"62079C010",60.7200884530018
"62079D02-",57.117732202199
"62079D052",45.6959333168801
"62079F00-",59.6479593988956
"62079F01-",51.932799793539
"62079G012",54.2912713849661
"62093A001",52.8501648239124
"62093A012",61.3811547270807
"62093A101",49.2611799365224
"62093B001",54.5396747418172
"62093C20-",52.4756730438221
"62093C312",56.2010399957012
"62096A100",49.2465637939175
"62096A172",50.9545658275273
"62096A201",53.3284946543539
"62096A221",57.6022306939333
"62096A232",52.0524901693686
"62096A242",55.2211000221183
"62096A301",54.9040340753639
"62096A311",50.0083625544261
"62096A453",54.3322190107355
"62096A501",48.7883295887312
"62096A511",53.4128753986798
"62096A542",41.7041093951424
"62096A552",49.6700712783373
"62096A700",54.2273325744341
"62096A710",54.3800648560384
"62096B31-",54.3929580000559
"62096B40-",56.2872596762908
"62096B51-",48.8865753419043
"62096C020",55.3289099133883
"62096C110",57.35805639012
"62096C122",55.0864200313394
"62096C501",53.2503613670046
"62096D00-",51.7356587834664
"62096D021",54.7626136715656
"62096D04-",47.9646404895973
"62096D051",57.4480040386244
"62099A12-",53.8750705565406
"62099B08-",59.5960018149511
"62099C212",56.32623060954
"62099F099",48.7839345284628
"62100A300",55.6534918483236
"62100A60-",54.3453348937438
"62100B100",49.0385486486038
"62100B49-",62.3023279067836
"62100D00-",52.0646914465385
"62100D190",53.4860559700266
"62100E19-",54.3123882160235
"62108A01-",53.3647091978966
"62108A031",53.7538016741103
"62108A100",55.3537911895077
"62108A180",48.3815871518788
"62108A200",50.2635520986299
"62108A222",51.1849204716183
"62108B012",50.9682222775893
"62108C000",58.8660649370066
"62108D101",48.9587077946144
"62108F19-",47.8500773637403
"62118A011",52.1830028551176
"62118A079",54.5194135086448
"62118A110",51.373233676641
"62118A201",52.1525760329378
"62118A222",50.1338305756639
"62118D00-",52.7472635579126
"62118D091",52.7472635579126
"62118F000",52.4030360212629
"62119B292",51.4724217370878
"62119D11-",44.8520520652971
"62119D209",50.1740932115219
"62119D322",55.1576407510331
"62119D391",57.4212954435763
"62119F089",52.4251211125342
"62119F099",54.1167207088765
"62120A402",54.9379962415886
"62120A811",49.5034977799382
"62120A90-",51.2419038605134
"62120B042",64.1855057272584
"62120C091",50.504009586385
"62120C299",56.4460471359466
"62120C380",66.070024591181
"62120D184",48.0844629215935
"62121A101",52.7866411274479
"62121A11-",52.0470802142337
"62122A011",56.9774900317238
"62122A291",69.6586922453565
"62122B29-",54.7085078439688
