"year","dtbtor","CVD","CVA","value18","CVA18","CVD18","bill70","bill7018"
2017,"Habay",2.18,2.365,1.022,2.41703,2.22796,349.7205,357.414351
2012,"Helecine",1.79,1.475,1.09217087138862,1.61095203529821,1.95498585978563,252.6775,275.967005355298
2013,"Helecine",1.79,1.565,1.06449402669456,1.66593315177699,1.90544430778326,259.3555,276.082380540381
2014,"Helecine",1.99,1.745,1.05187156788,1.8355158859506,2.0932244200812,288.6115,303.582231013199
2012,"IDEA",0.6233,1.475,1.09217087138862,1.61095203529821,0.680750104136526,159.92485,174.665262781194
2013,"IDEA",0.75,1.565,1.06449402669456,1.66593315177699,0.79837052002092,176.6755,188.070014413275
2014,"IDEA",0.75,1.745,1.05187156788,1.8355158859506,0.78890367591,190.0315,199.888731851588
2015,"IDEA",0.75,1.935,1.046638376,2.02524525756,0.784978782,204.1295,213.649768373692
2016,"IDEA",0.75,2.115,1.040396,2.20043754,0.780297,217.4855,226.271044258
2017,"IDEA",0.75,2.365,1.022,2.41703,0.7665,236.0355,241.228281
2012,"IDEN",2.16,1.475,1.09217087138862,1.61095203529821,2.35908908219942,282.0925,308.093211537194
2013,"IDEN",2.16,1.565,1.06449402669456,1.66593315177699,2.29930709766025,288.7705,307.394472335602
2014,"IDEN",2.3867,1.745,1.05187156788,1.8355158859506,2.5105018710592,320.14915,336.755788365949
2015,"IDEN",2.3867,1.935,1.046638376,2.02524525756,2.4980118119992,334.24715,349.835894258629
2016,"IDEN",2.3867,2.115,1.040396,2.20043754,2.4831131332,347.60315,361.6449268474
2017,"IDEN",2.3867,2.365,1.022,2.41703,2.4392074,366.15315,374.2085193
2012,"IECBW",2.04,1.475,1.09217087138862,1.61095203529821,2.22802857763278,272.5525,297.673901424146
2013,"IECBW",2.104,1.565,1.06449402669456,1.66593315177699,2.23969543216535,284.3185,302.655344928757
2014,"IECBW",2.16,1.745,1.05187156788,1.8355158859506,2.2720425866208,302.1265,317.798275253097
2015,"IECBW",2.16,1.935,1.046638376,2.02524525756,2.26073889216,316.2245,330.972697131412
2016,"IECBW",2.16,2.115,1.040396,2.20043754,2.24725536,329.5805,342.894233878
2017,"IECBW",2.16,2.365,1.022,2.41703,2.20752,348.1305,355.789371
2012,"IEG",1.75,1.475,1.09217087138862,1.61095203529821,1.91129902493008,249.4975,272.493901984282
2013,"IEG",1.9105,1.565,1.06449402669456,1.66593315177699,2.03371583799996,268.93525,286.279967192608
2014,"IEG",1.9105,1.745,1.05187156788,1.8355158859506,2.00960063043474,282.29125,296.934139736305
2015,"IEG",NA,1.935,1.046638376,2.02524525756,NA,NA,NA
2016,"IEG",NA,2.115,1.040396,2.20043754,NA,NA,NA
2017,"IEG",NA,2.365,1.022,2.41703,NA,NA,NA
2012,"INASEP",2.372,1.475,1.09217087138862,1.61095203529821,2.5906293069338,298.9465,326.500659403578
2013,"INASEP",2.4394,1.565,1.06449402669456,1.66593315177699,2.59672672871871,310.9828,331.039333004749
2014,"INASEP",2.557,1.745,1.05187156788,1.8355158859506,2.68963559906916,333.688,350.996919742741
2015,"INASEP",2.6746,1.935,1.046638376,2.02524525756,2.7993390004496,357.1352,373.791405740435
2016,"INASEP",2.6746,2.115,1.040396,2.20043754,2.7826431416,370.4912,385.4575625152
2017,"INASEP",2.6746,2.365,1.022,2.41703,2.7334412,389.0412,397.6001064
2012,"La Calamine",1.75,1.475,1.09217087138862,1.61095203529821,1.91129902493008,249.4975,272.493901984282
2013,"La Calamine",1.78,1.565,1.06449402669456,1.66593315177699,1.89479936751632,258.5605,275.236107789159
2014,"La Calamine",1.88,1.745,1.05187156788,1.8355158859506,1.9775185476144,279.8665,294.383614152088
2015,"La Calamine",2.04,1.935,1.046638376,2.02524525756,2.13514228704,306.6845,320.987767024372
2016,"La Calamine",2.08,2.115,1.040396,2.20043754,2.16402368,323.2205,336.277315318
2017,"La Calamine",2.08,2.365,1.022,2.41703,2.12576,341.7705,349.289451
2012,"Leglise",1.4571,1.475,1.09217087138862,1.61095203529821,1.59140217670036,226.21195,247.062102550019
2013,"Leglise",2.17,1.565,1.06449402669456,1.66593315177699,2.3099520379272,289.5655,308.240745086824
2014,"Leglise",2.23,1.745,1.05187156788,1.8355158859506,2.3456735963724,307.6915,323.651940528349
2015,"Leglise",2.254,1.935,1.046638376,2.02524525756,2.359122899504,323.6975,338.79422571526
2016,"Leglise",2.38,2.115,1.040396,2.20043754,2.47614248,347.0705,361.090759918
2017,"Leglise",2.38,2.365,1.022,2.41703,2.43236,365.6205,373.664151
2012,"Libin",2.1036,1.475,1.09217087138862,1.61095203529821,2.2974906450531,277.6087,303.196135784062
2013,"Libin",2.1036,1.565,1.06449402669456,1.66593315177699,2.23926963455468,284.2867,302.621494018708
2014,"Libin",1.82,1.745,1.05187156788,1.8355158859506,1.9144062535416,275.0965,289.366186773301
2015,"Libin",1.82,1.935,1.046638376,2.02524525756,1.90488184432,289.1945,302.682061828132
2016,"Libin",2.1036,2.115,1.040396,2.20043754,2.1885770256,325.0967,338.2293062932
2017,"Libin",2.1036,2.365,1.022,2.41703,2.1498792,343.6467,351.2069274
2012,"Libramont-Chevigny",1.76,1.475,1.09217087138862,1.61095203529821,1.92222073364397,250.2925,273.362177827036
2013,"Libramont-Chevigny",2.08,1.565,1.06449402669456,1.66593315177699,2.21414757552469,282.4105,300.624290325824
2014,"Libramont-Chevigny",2.45,1.745,1.05187156788,1.8355158859506,2.577085341306,325.1815,342.04917425057
2015,"Libramont-Chevigny",2.45,1.935,1.046638376,2.02524525756,2.5642640212,339.2795,355.102944890092
2016,"Libramont-Chevigny",2.61,2.115,1.040396,2.20043754,2.71543356,365.3555,380.114400778
2017,"Libramont-Chevigny",2.61,2.365,1.022,2.41703,2.66742,383.9055,392.351421
2012,"Limbourg",1.56,1.475,1.09217087138862,1.61095203529821,1.70378655936625,234.3925,255.996660971957
2013,"Limbourg",1.84,1.565,1.06449402669456,1.66593315177699,1.95866900911799,263.3305,280.313744296492
2014,"Limbourg",1.84,1.745,1.05187156788,1.8355158859506,1.9354436848992,276.6865,291.03866256623
2015,"Limbourg",2.1,1.935,1.046638376,2.02524525756,2.1979405896,311.4545,325.980232077892
2016,"Limbourg",2.35,2.115,1.040396,2.20043754,2.4449306,344.6855,358.609415458
2017,"Limbourg",2.35,2.365,1.022,2.41703,2.4017,363.2355,371.226681
2012,"Manhay",1.85,0,1.09217087138862,0,2.02051611206894,148.0025,161.644019392694
2013,"Manhay",1.9733,0,1.06449402669456,0,2.10056606287638,157.80485,167.982320208431
2014,"Manhay",1.9733,0,1.05187156788,0,2.0756581648976,157.80485,165.990434988568
2015,"Manhay",1.9733,0,1.046638376,0,2.0653315073608,157.80485,165.164611928924
2016,"Manhay",2.1481,0,1.040396,0,2.2348746476,171.70145,178.6375017742
2017,"Manhay",2.1481,0,1.022,0,2.1953582,171.70145,175.4788819
2012,"Meix-Devant-Virton",1.2,1.475,1.09217087138862,1.61095203529821,1.31060504566634,205.7725,224.738730632815
2013,"Meix-Devant-Virton",1.2,1.565,1.06449402669456,1.66593315177699,1.27739283203347,212.4505,226.152288218273
2014,"Meix-Devant-Virton",1.2,1.745,1.05187156788,1.8355158859506,1.262245881456,225.8065,237.519437192495
2015,"Meix-Devant-Virton",1.2,1.935,1.046638376,2.02524525756,1.2559660512,239.9045,251.093256275092
2016,"Meix-Devant-Virton",1.6,2.115,1.040396,2.20043754,1.6646336,285.0605,296.575803958
2017,"Meix-Devant-Virton",1.6,2.365,1.022,2.41703,1.6352,303.6105,310.289931
2012,"Musson",1.81,1.475,1.09217087138862,1.61095203529821,1.9768292772134,254.2675,277.703557040806
2013,"Musson",1.8354,1.565,1.06449402669456,1.66593315177699,1.9537723365952,262.9648,279.92445883093
2014,"Musson",1.8354,1.745,1.05187156788,1.8355158859506,1.93060507568695,276.3208,290.653993133856
2015,"Musson",1.8354,1.935,1.046638376,2.02524525756,1.9210000753104,290.4188,303.963461191869
2016,"Musson",1.81,2.115,1.040396,2.20043754,1.88311676,301.7555,313.945215178
