"id"	"parcarea"	"geometry"
"1826"	91.044	"c(136077.179, 122607.957)"
"1831"	995.6817	"c(124649.622, 126000.615)"
"1928"	548.2752	"c(135938.652, 121523.659)"
"1950"	970.3762	"c(115336.728, 125307.456)"
"1991"	648.1738	"c(130813.22, 120901.811)"
"2017"	1436.396	"c(129799.721, 119980.752)"
"2019"	123.3489	"c(114521.047, 121670.501)"
"2033"	189.4117	"c(116870.626, 122211.573)"
"2036"	558.7552	"c(114007.262, 123129.993)"
"2147"	131.2896	"c(139389.337, 93988.355)"
"2149"	171.3554	"c(134361.991, 126467.141)"
"2188"	1198.1255	"c(142994.858, 117719.111)"
"2204"	859.6461	"c(129346.769, 116778.097)"
"2246"	1050.0304	"c(143434.722, 119558.169)"
"2279"	154.2917	"c(113310.516, 121635.071)"
"2283"	1349.865	"c(111833.035, 118315.667)"
"2329"	135.215	"c(115340.057, 122221.007)"
"2358"	144.2571	"c(139245.449, 111625.617)"
"2360"	742.2961	"c(134044.614, 126669.55)"
"2364"	932.2698	"c(103499.973, 114749.041)"
"2367"	187.0768	"c(113783.762, 125637.563)"
"2415"	511.5848	"c(136317.785, 127805.854)"
"2422"	214.239	"c(108717.906, 120764.181)"
"2442"	1310.5237	"c(138930.624, 122116.003)"
"2452"	138.6012	"c(126583.574, 128068.907)"
"2467"	223.1249	"c(108759.527, 120448.443)"
"2474"	893.6133	"c(140639.538, 127022.395)"
"2507"	123.3835	"c(115897.035, 126872.448)"
"2515"	242.6941	"c(123035.703, 123892.065)"
"2539"	445.4644	"c(116225.48, 123247.558)"
"2541"	957.0475	"c(134284.746, 125354.591)"
"2558"	411.6106	"c(137081.236, 119851.859)"
"2607"	766.7745	"c(108665.25, 121918.272)"
"2618"	208.3586	"c(137238.87, 124398.115)"
"2632"	363.6774	"c(118665.558, 125281.896)"
"2647"	187.9315	"c(141272.976, 126925.773)"
"2685"	1105.8339	"c(101766.917, 125155.573)"
"2689"	159.7381	"c(111773.808, 124219.537)"
"2746"	948.077	"c(142996.636, 122246.471)"
"2788"	125.255	"c(127260.4, 127540.372)"
"2789"	1114.3627	"c(101138.575, 123661.876)"
"2807"	280.9573	"c(108769.885, 121059.567)"
"2819"	1109.1463	"c(122378.942, 127173.157)"
"2836"	1405.05	"c(111976.933, 118775.675)"
"2847"	203.7766	"c(115400.827, 122348.279)"
"2848"	143.2194	"c(120158.596, 124158.315)"
"2854"	278.1317	"c(107968.309, 122536.812)"
"39"	252.4652	"c(132857.066, 144168.95)"
"51"	302.7415	"c(135044.765, 130965.192)"
"54"	1624.6511	"c(110430.736, 145113.494)"
"57"	196.6446	"c(110535.66, 141903.222)"
"82"	1097.7663	"c(123050.469, 134075.816)"
"114"	721.1739	"c(106217.97, 139084.42)"
"155"	221.0249	"c(109325.945, 128873.569)"
"164"	170.6665	"c(126439.203, 153822.193)"
"175"	86.9821	"c(136700.322, 128917.78)"
"185"	926.1929	"c(129533.91, 152776.229)"
"199"	3096.4419	"c(109980.425, 149328.009)"
"222"	1098.4886	"c(102901.761, 154864.663)"
"229"	1000.2485	"c(135653.699, 138477.299)"
"232"	850.1778	"c(108090.828, 142901.603)"
"252"	257.57	"c(140540.49, 152206.232)"
"260"	1162.6518	"c(119419.306, 131192.622)"
"263"	215.3126	"c(107711.296, 145593.1)"
"271"	538.7094	"c(124063.975, 133912.324)"
"295"	302.6512	"c(135911.052, 129835.824)"
"309"	1948.3509	"c(128974.864, 129325.068)"
"310"	712.8491	"c(96998.849, 150896.132)"
"331"	116.3148	"c(128806.648, 140805.39)"
"341"	248.9389	"c(133163.548, 144189.175)"
"342"	137.4864	"c(112659.044, 155461.676)"
"353"	975.764	"c(136248.285, 139773.361)"
"361"	349.5895	"c(143228.511, 128978.136)"
"390"	136.5707	"c(140703.148, 132566.199)"
"410"	241.0259	"c(96437.96, 142644.011)"
"423"	490.7722	"c(102340.862, 129702.261)"
"429"	331.7993	"c(134356.361, 130503.902)"
"431"	482.4439	"c(123472.246, 132126.243)"
"440"	514.1175	"c(129595.258, 152877.081)"
"446"	116.5172	"c(107612.849, 146197.847)"
"453"	10852.5078	"c(133159.977, 143720.407)"
"480"	1518.587	"c(113139.891, 129256.034)"
"482"	452.4916	"c(116206.628, 133980.416)"
"498"	2983.5444	"c(142597.915, 148637.156)"
"552"	947.3484	"c(109623.846, 128565.905)"
"563"	1197.76	"c(123529.885, 141666.22)"
"572"	463.229	"c(96730.393, 150701.648)"
"575"	698.6694	"c(135233.921, 151507.766)"
"582"	364.0483	"c(113445.505, 156392.423)"
"590"	2770.5475	"c(108664.175, 156981.931)"
"614"	2456.508	"c(131649.312, 155744.087)"
"633"	863.1588	"c(139266.367, 150418.481)"
"636"	743.6781	"c(125689.109, 153339.687)"
"660"	3822.4576	"c(107941.87, 147515.189)"
"665"	103.4274	"c(144044.432, 140089.537)"
"666"	142.116	"c(139984.173, 148117.458)"
"669"	24.1683	"c(107708.418, 147249.02)"
"670"	220.8175	"c(96589.736, 142817.231)"
"679"	3059.7237	"c(118127.425, 149295.667)"
"722"	281.743	"c(136370.993, 140147.115)"
"723"	1052.2016	"c(138820.038, 131436.703)"
"725"	476.5312	"c(119104.711, 128285.375)"
"731"	296.1411	"c(129786.209, 153334.402)"
"739"	163.9445	"c(133380.497, 143976.63)"
"775"	1173.32	"c(114742.329, 153460.762)"
"786"	646.3868	"c(138455.673, 151541.659)"
"792"	452.1055	"c(113608.432, 134441.839)"
"801"	54.0849	"c(134898.605, 154981.909)"
"809"	892.8756	"c(111036.467, 130237.876)"
"818"	481.446	"c(129799.306, 153510.009)"
"819"	201.0302	"c(132235.238, 129772.536)"
"832"	751.2037	"c(120950.686, 130592.855)"
"835"	719.3172	"c(98785.296, 153778.4)"
"886"	1628.1286	"c(112072.607, 154934.964)"
"887"	3647.1996	"c(101653.043, 156622.264)"
"888"	865.8972	"c(118332.683, 129433.567)"
"896"	1542.8574	"c(100914.447, 139739.75)"
"898"	750.9635	"c(127971.897, 141394.174)"
"902"	466.6125	"c(134256.745, 144352.44)"
"918"	205.2537	"c(135199.633, 129815.309)"
"950"	322.767	"c(127682.752, 153727.316)"
"965"	253.8692	"c(136110.165, 140232.857)"
"978"	847.9521	"c(142102.992, 151661.934)"
"983"	838.0422	"c(99817.59, 142447.807)"
"988"	167.3369	"c(139408.479, 129342.476)"
"990"	1964.915	"c(117892.512, 128789.586)"
"991"	1557.0857	"c(120361.402, 148559.773)"
"1011"	144.3813	"c(121085.298, 129683.84)"
"1013"	1099.6532	"c(115733.545, 133378.366)"
"1034"	2587.6132	"c(100608.368, 156225.974)"
"1037"	392.4993	"c(133633.955, 145282.865)"
"1038"	538.029	"c(144115.797, 128567.911)"
"1039"	841.8401	"c(131465.878, 132398.38)"
"1045"	823.6055	"c(138436.22, 131883.921)"
"1048"	818.8476	"c(135747.021, 155423.598)"
"1063"	882.8616	"c(113362.066, 158099.128)"
"1080"	197.1536	"c(134149.978, 144533.839)"
"1090"	1317.3648	"c(104767.281, 128906.622)"
"1104"	319.3415	"c(119467.746, 151359.093)"
"1127"	4519.0292	"c(138327.628, 148351.805)"
"1130"	251.8217	"c(140254.03, 128944.718)"
"1138"	2152.7074	"c(116039.636, 158746.187)"
"1158"	1323.0332	"c(117781.276, 128986.529)"
"1160"	892.1699	"c(121975.751, 128167.95)"
"1163"	763.227	"c(140235.347, 153111.249)"
"1171"	56.9921	"c(102270.351, 129036.345)"
"1176"	792.7746	"c(104462.378, 148540.629)"
"1180"	370.0251	"c(129447.81, 140371.169)"
"1197"	1232.6745	"c(123655.066, 146720.658)"
"1234"	790.661	"c(135519.765, 149353.417)"
"1239"	806.8071	"c(136241.015, 136984.044)"
"1243"	1434.56	"c(107997.313, 139901.28)"
"1248"	357.5121	"c(144421.236, 128558.501)"
"1254"	690.8051	"c(126631.278, 153914.598)"
"1259"	811.1672	"c(101046.12, 158016.636)"
"1291"	336.689	"c(132257.28, 129531.687)"
"1294"	252.215	"c(134065.891, 144938.825)"
"1312"	976.2292	"c(134933.757, 128178.393)"
"1351"	345.2793	"c(141629.124, 151847.761)"
"1356"	519.2168	"c(139114.27, 129112.643)"
"1400"	1206.2452	"c(111660.908, 130793.636)"
"1402"	1962.7548	"c(112579.038, 128405.187)"
"1405"	935.5744	"c(99527.061, 132439.215)"
"1418"	1129.9671	"c(119574.823, 151072.809)"
"1435"	367.3957	"c(131437.119, 137984.414)"
"1436"	111.2937	"c(126528.038, 153727.047)"
"1456"	388.7824	"c(97602.191, 143185.899)"
"1476"	1056.6107	"c(102167.032, 142338.894)"
